,info,answer,score,generated_answer,detailed_generated_answer
0,109年學測-自然科第1題,E,0.0,ABCDE,(A) 甲乙丙(B) 甲丙乙(C)乙丙甲(D)乙甲丙(E)丙乙甲
1,109年學測-自然科第2題,B,0.0,A,(A) 55 m/s
2,109年學測-自然科第6題,E,0.0,A,(A) 甲為星系團，遠離速率較乙小。
3,109年學測-自然科第8題,E,0.0,A,(A) 具有核糖體者為原生生物。
4,109年學測-自然科第9題,C,0.0,A,(A) 植物在噴灑巴拉刈後仍可持續進行碳反應。
5,109年學測-自然科第13題,E,0.0,ACHCOOH,(A) 苯甲酸（C6H5COOH）
6,109年學測-自然科第22題,C,0.0,A,(A) 板塊運動速率越快，山崩越不容易發生。
7,109年學測-自然科第23題,D,0.0,A,(A) 地震規模大小與斷層錯動所釋放的能量無關。
8,109年學測-自然科第24題,CE,0.0,A,(A) 電子的雙狹縫干涉現象是因為電子具有粒子性。
9,109年學測-自然科第27題,CDE,0.0,A,(A) 心臟的搏動純粹由心肌收縮所造成。
10,109年學測-自然科第28題,BD,0.0,ABCDE,(A) 皆與碰觸方向無關 (B) 攀爬不可逆，捕蟲則可逆 (C) 碰觸位置的細胞生長皆受抑制 (D) 攀爬過程有生長素參與，捕蟲過程則無 (E) 攀爬與睡眠運動相似，捕蟲與觸發運動相似
11,109年學測-自然科第29題,BDE,0.0,A,(A) 吸入的氣體會進入肺部外側的胸腔中。(B) 橫膈（肌）與肋間肌收縮會驅動吸氣的動作。(C) 肺泡的骨骼肌鬆弛時使氣體進入肺泡。(D) 肺泡血液和大氣間氣體交換依賴擴散作用。(E) 呼吸運動兼受自主性及意識性之機制進行。
12,109年學測-自然科第30題,ADE,0.0,ABCDTEB,(A) 出現局部發炎反應 (B) 被叮咬後就會立即發高燒 (C) 經由接觸可能將病症傳染給家人 (D) 專一性胞毒T細胞增生並分化 (E) 專一性B細胞分化為漿細胞，以產生抗體
13,109年學測-自然科第32題,CD,0.19999999999999996,,豆漿是國人常用飲品，其製作過程如下：（a）將黃豆洗淨置入盆中泡水使其膨脹，傾斜盆子將水緩緩倒出。（b）再用篩子瀝乾水分後，再次將黃豆沖水洗淨後放入果汁機。（c）加適量水並啟動果汁機，使黃豆汁呈現細綿狀。（d）將打好的豆汁倒入鍋中，以小火慢煮，過程中需持續攪拌，避免燒焦。（e）將煮滾的豆汁過篩，即告完成下列物質純化之技術與上述過程使用到類似者有哪些？（應選2項）蒸餾、層析。因此，正確的選項為（a）蒸餾。
14,109年學測-自然科第33題,ADE,0.19999999999999996,A,(A) 黑子觀測可利用投影法或透過太陽濾鏡，避免強光傷害眼球。
15,109年學測-自然科第35題,ADE,0.19999999999999996,A,(A) 颱風是一種熱帶氣旋。
16,109年學測-自然科第36題,ABC,0.19999999999999996,A,(A) 劇烈天氣所伴隨的閃電現象大多發生在對流層內。
17,109年學測-自然科第37題,C,0.0,A,(A) 在靜止狀態下，細胞膜的兩側電荷分布相同。
18,109年學測-自然科第39題,D,0.0,A,(A) 腦電波的頻率為波長與波速的乘積。
19,109年學測-自然科第40題,CD,0.0,A,(A) 乾電池：熱能→電能
20,109年學測-自然科第41題,D,0.0,A,正確的選項為(A)胺基酸。
21,109年學測-自然科第42題,AE,0.19999999999999996,AB,正確的選項為(A)葉綠體和(B)核糖體。
22,109年學測-自然科第45題,ACD,0.19999999999999996,A,(A) 大氣中等速度直線飛行的民航機，所受的合力為零。
23,109年學測-自然科第50題,ADE,0.19999999999999996,A,(A)神經元
24,109年學測-自然科第52題,ACE,0.19999999999999996,A,(A) 轉譯機制相似
25,109年學測-自然科第53題,D,0.0,ADNA,(A) 發現DNA病毒是促使1990年代之後，「域」被外加於「界」之上，並普遍為生物學界所接受的原因之一。
26,109年學測-自然科第58題,B,0.0,AM,(A) 鹽酸水溶液較氫氧化鈉水溶液多1*10^6M.
27,109年學測-自然科第61題,B,0.0,A,(A) 鐵（Ⅲ）離子
28,109年學測-自然科第62題,D,0.0,A,(A) 室女座星系團
29,109年學測-自然科第63題,C,1.0,C,(C)气温18℃、露点温度18℃
30,109年學測-自然科第64題,A,1.0,A,(A) 鋒面的位置
31,109年學測-自然科第67題,ABE,0.19999999999999996,A,(A) 石油是化石燃料的一種，屬於非再生資源，終有枯竭的一天，且大量使用石油已對地球環境與其永續發展造成了許多負面的衝擊。石油常作為燃料，是許多機具運作的能量來源，但是石油的燃燒會釋放出大量的二氧化碳到氣圈中，強化溫室效應，這已被認為是今日全球暖化的主因，且二氧化碳進入平流層後，會與臭氧產生反應，導致臭氧洞的產生。此外，大氣中二氧化碳氣體驟增的結果，亦使得海洋中溶解、吸收的二氧化碳驟然增加，二氧化碳被海水吸收後會形成碳酸，造成了海洋酸化。
32,109年學測-自然科第68題,B,0.0,A,(A) 地球電離層
